series,ym,ton,ton_ytd,ton_ytd_bfyear
fresh,201302,0.0,0.0,2.0
fresh,201303,0.0,0.0,2.0
fresh,201304,0.0,0.0,2.0
fresh,201305,0.0,0.0,2.0
fresh,201306,0.0,0.0,2.0
fresh,201307,0.0,0.0,4.0
fresh,201308,0.0,0.0,4.0
fresh,201309,0.0,0.0,4.0
fresh,201310,0.0,0.0,4.0
fresh,201311,0.0,0.0,4.0
fresh,201312,0.0,0.0,4.0
fresh,201401,0.0,0.0,0.0
fresh,201402,0.0,0.0,0.0
fresh,201403,0.0,0.0,0.0
fresh,201404,0.0,0.0,0.0
fresh,201405,0.0,0.0,0.0
fresh,201406,0.0,0.0,0.0
fresh,201407,0.0,0.0,0.0
fresh,201408,0.0,0.0,0.0
fresh,201409,0.0,0.0,0.0
fresh,201410,0.0,0.0,0.0
fresh,201411,0.0,0.0,0.0
fresh,201412,0.0,0.0,0.0
fresh,201501,0.0,0.0,0.0
fresh,201502,0.0,0.0,0.0
fresh,201503,0.0,0.0,0.0
fresh,201504,0.0,0.0,0.0
fresh,201505,0.0,0.0,0.0
fresh,201506,0.0,0.0,0.0
fresh,201507,0.0,0.0,0.0
fresh,201508,0.0,0.0,0.0
fresh,201509,0.0,0.0,0.0
fresh,201510,0.0,0.0,0.0
fresh,201511,0.0,0.0,0.0
fresh,201512,0.0,0.0,0.0
fresh,201601,0.0,0.0,0.0
fresh,201602,0.0,0.0,0.0
fresh,201603,0.0,0.0,0.0
fresh,201604,0.0,0.0,0.0
fresh,201605,0.0,0.0,0.0
fresh,201606,0.0,0.0,0.0
fresh,201607,0.0,0.0,0.0
fresh,201608,0.0,0.0,0.0
fresh,201609,0.0,0.0,0.0
fresh,201610,0.0,0.0,0.0
fresh,201611,0.0,0.0,0.0
fresh,201612,0.0,0.0,0.0
fresh,201701,0.0,0.0,0.0
fresh,201702,0.0,0.0,0.0
fresh,201703,0.0,0.0,0.0
fresh,201704,0.0,0.0,0.0
fresh,201705,0.0,0.0,0.0
fresh,201706,0.0,0.0,0.0
fresh,201707,0.0,0.0,0.0
fresh,201708,0.0,0.0,0.0
fresh,201709,0.0,0.0,0.0
fresh,201710,0.0,0.0,0.0
fresh,201711,0.0,0.0,0.0
fresh,201712,0.0,0.0,0.0
fresh,201801,0.0,0.0,0.0
fresh,201802,0.0,0.0,0.0
fresh,201803,0.0,0.0,0.0
fresh,201804,0.0,0.0,0.0
fresh,201805,0.0,0.0,0.0
fresh,201806,0.0,0.0,0.0
fresh,201807,0.0,0.0,0.0
fresh,201808,0.0,0.0,0.0
fresh,201809,0.0,0.0,0.0
fresh,201810,0.0,0.0,0.0
fresh,201811,0.0,0.0,0.0
fresh,201812,0.0,0.0,0.0
fresh,201901,0.0,0.0,0.0
fresh,201902,0.0,0.0,0.0
fresh,201903,0.0,0.0,0.0
fresh,201904,0.0,0.0,0.0
fresh,201905,0.0,0.0,0.0
fresh,201906,0.0,0.0,0.0
fresh,201907,0.0,0.0,0.0
fresh,201908,0.0,0.0,0.0
fresh,201909,0.0,0.0,0.0
fresh,201910,0.0,0.0,0.0
fresh,201911,0.0,0.0,0.0
fresh,201912,0.0,0.0,0.0
fresh,202001,0.0,0.0,0.0
fresh,202002,0.0,0.0,0.0
fresh,202003,0.0,0.0,0.0
fresh,202004,0.0,0.0,0.0
fresh,202005,0.0,0.0,0.0
fresh,202006,0.0,0.0,0.0
fresh,202007,0.0,0.0,0.0
fresh,202008,0.0,0.0,0.0
fresh,202009,0.0,0.0,0.0
fresh,202010,0.0,0.0,0.0
fresh,202011,0.0,0.0,0.0
fresh,202012,0.0,0.0,0.0
fresh,202101,0.0,0.0,0.0
fresh,202102,0.0,0.0,0.0
fresh,202103,0.0,0.0,0.0
fresh,202104,0.0,0.0,0.0
fresh,202105,0.0,0.0,0.0
fresh,202106,0.0,0.0,0.0
fresh,202107,2.0,2.0,0.0
fresh,202108,0.0,2.0,0.0
fresh,202109,0.0,2.0,0.0
fresh,202110,0.0,2.0,0.0
fresh,202111,0.0,2.0,0.0
fresh,202112,0.0,2.0,0.0
fresh,202201,0.0,0.0,0.0
fresh,202202,0.0,0.0,0.0
fresh,202203,0.0,0.0,0.0
fresh,202204,0.0,0.0,0.0
fresh,202205,0.0,0.0,0.0
fresh,202206,0.0,0.0,0.0
fresh,202207,0.0,0.0,2.0
fresh,202208,0.0,0.0,2.0
fresh,202209,0.0,0.0,2.0
fresh,202210,0.0,0.0,2.0
fresh,202211,0.0,0.0,2.0
fresh,202212,0.0,0.0,2.0
fresh,202301,0.0,0.0,0.0
fresh,202302,0.0,0.0,0.0
