DATE,val,yearAvg,bfYear
202008중순,47723,24979,24364
202008하순,45162,25218,21304
202009상순,40427,30577,32305
202009중순,57045,40561,24810
202009하순,129302,43723,39357
202010상순,155975,65581,76778
202010중순,178341,62674,59317
202010하순,197283,75860,57145
202011상순,180463,86752,65467
202011중순,131156,70051,77930
202011하순,60442,62960,72404
202012상순,48709,67247,72799
202012중순,61297,61400,63319
202012하순,57722,50827,54974
202101상순,42699,44945,47186
202101중순,44770,47037,57000
202101하순,45361,62689,66500
202102상순,74551,61313,39467
202102중순,50770,52646,58165
202102하순,62563,51735,75161
202103상순,97039,81381,91086
202103중순,128112,93211,116695
202103하순,140872,91124,112732
202104상순,170402,107732,121487
202104중순,125406,89454,101010
202104하순,89755,58528,61243
202105상순,101305,47706,46705
202105중순,58291,42436,35356
202105하순,73048,44972,50496
202106상순,57885,56543,50662
202106중순,45216,52749,58150
202106하순,62639,48219,41577
202107상순,61830,45681,50369
202107중순,70311,37644,37689
202107하순,49195,37204,41586
202108상순,38692,36344,50705
202108중순,28092,32050,47723
202108하순,25133,31732,45162
202109상순,29798,35450,40427
202109중순,43889,50858,57045
202109하순,32981,61365,129302
202110상순,33619,97304,155975
202110중순,41747,71773,178341
202110하순,58482,94935,197283
202111상순,62231,111532,180463
202111중순,43523,94155,131156
202111하순,56365,64171,60442
202112상순,68413,67247,48709
202112중순,64285,67635,61297
202112하순,60250,57119,57722
202201상순,55310,44945,42699
202201중순,52609,49203,44770
202201하순,95525,56605,45361
202202상순,72869,59164,74551
202202중순,66047,50181,50770
202202하순,100707,55525,62563
202203상순,136237,84243,97039
202203중순,121355,104596,128112
202203하순,143105,111984,140872
202204상순,130187,122193,170402
202204중순,78710,103072,125406
202204하순,70747,69197,89755
202205상순,87323,63085,101305
202205중순,103685,48133,58291
202205하순,62100,55893,73048
202206상순,74091,58951,57885
202206중순,70269,53070,45216
202206하순,44823,54323,62639
202207상순,50339,52219,61830
202207중순,41855,43743,70311
202207하순,37746,42624,49195
202208상순,40323,38898,38692
202208중순,46041,33293,28092
202208하순,41710,33008,25133
202209상순,52559,35450,29798
202209중순,55744,52284,43889
202209하순,93342,61365,32981
202210상순,124947,97304,33619
202210중순,100433,70235,41747
202210하순,128759,81093,58482
202211상순,79709,86752,62231
202211중순,64548,70051,43523
202211하순,63037,58972,56365
202212상순,81215,64338,68413
202212중순,93553,62967,64285
202212하순,108639,57119,60250
202301상순,92146,44945,55310
202301중순,94656,47739,52609
202301하순,73299,56605,95525
202302상순,54471,62296,72869
202302중순,75151,53855,66047
202302하순,114893,66622,100707
202303상순,150925,89385,136237
202303중순,191964,114507,121355
202303하순,212737,132236,143105
202304상순,207382,129606,130187
202304중순,196845,95802,78710
202304하순,139075,72977,70747
202305상순,61180,76624,87323
202305중순,106633,53065,103685
202305하순,94690,52244,62100
202306상순,72625,58951,74091
202306중순,105622,60283,70269
202306하순,96997,54405,44823
202307상순,60148,53463,50339
202307중순,59801,45131,41855
202307하순,56296,42842,37746
202308상순,40199,41954,40323
202308중순,38475,39163,46041
202308하순,39214,35700,41710
202309상순,42928,35450,52559
202309중순,82278,51851,55744
202309하순,102483,62587,93342
202310상순,87270,88100,124947
202310중순,106710,82122,100433
202310하순,88442,100536,128759
202311상순,58507,89423,79709
202311중순,52809,71952,64548
202311하순,71273,60096,63037
202312상순,80852,64338,81215
202312중순,77846,62967,93553
202312하순,69448,57649,108639
202401상순,54157,48961,92146
202401중순,48787,51816,94656
202401하순,64385,65917,73299
202402상순,76869,67297,54471
202402중순,91038,58947,75151
202402하순,152950,79477,114893
202403상순,165036,108120,150925
202403중순,144570,122054,191964
202403하순,184237,132236,212737
202404상순,241446,140692,207382
202404중순,185788,101709,196845
202404하순,212559,73915,139075
202405상순,139545,67561,61180
202405중순,81093,67935,106633
202405하순,136484,61881,94690
202406상순,78837,63008,72625
202406중순,77378,65091,105622
202406하순,70462,55322,96997
202407상순,45248,53618,60148
202407중순,48694,48247,59801
202407하순,44104,42842,56296
202408상순,39747,39738,40199
202408중순,35345,37536,38475
202408하순,42926,35352,39214
202409상순,54235,38553,42928
202409중순,89893,52226,82278
202409하순,96554,78394,102483
202410상순,114740,96332,87270
202410중순,118733,88820,106710
202410하순,76642,91894,88442
202411상순,94520,69136,58507
202411중순,97987,65096,52809
202411하순,135503,64917,71273
202412상순,193900,74021,80852
202412중순,246877,68483,77846
202412하순,208514,62473,69448
202501상순,126428,52218,54157
202501중순,78414,52799,48787
202501하순,93016,68061,64385
202502상순,65046,67297,76869
202502중순,65853,66454,91038
202502하순,72393,96921,152950
202503상순,104760,128067,165036
202503중순,112784,131346,144570
202503하순,108774,156071,184237
202504상순,159360,169323,241446
202504중순,155250,137401,185788
202504하순,81644,99859,212559
202505상순,92296,83269,139545
202505중순,69639,81023,81093
202505하순,57202,76612,136484
202506상순,78382,68200,78837
202506중순,101642,68599,77378
202506하순,69654,59308,70462
202507상순,70078,53618,45248
202507중순,73154,50117,48694
202507하순,47540,44962,44104
202508상순,49113,40090,39747
202508중순,38361,39954,35345
202508하순,43135,41283,42926
202509상순,39778,45305,54235
202509중순,58701,65022,89893
202509하순,61954,97460,96554
202510상순,94607,108985,114740
202510중순,56439,108625,118733
202510하순,79064,97948,76642
202511상순,152850,78820,94520
202511중순,179881,71781,97987
202511하순,206829,64917,135503
202512상순,169885,76827,193900
202512중순,110832,78561,246877
202512하순,56471,79446,208514
202601상순,40961,67204,126428
202601중순,41392,59937,78414
202601하순,38404,76900,93016
202602상순,58607,70822,65046
202602중순,84254,69017,65853
202602하순,87503,95998,72393
202603상순,153045,130641,104760
202603중순,139308,131346,112784
202603하순,106159,156071,108774
202604상순,117486,179048,159360
202604중순,94390,155481,155250
202604하순,93112,103491,81644
202605상순,125483,93641,92296
202605중순,65225,84806,69639
202605하순,87715,76612,57202
202606상순,80926,75033,78382
202606중순,58067,83096,101642
202606하순,56199,67585,69654
202607상순,65678,57439,70078
202607중순,77690,59602,73154
202607하순,48109,46947,47540
202608상순,39925,40090,49113
202608중순,37644,37394,38361
202608하순,33710,41283,43135
202609상순,59652,45089,39778
202609중순,109496,65574,58701
202609하순,152889,83950,61954
