DATE,품목명,1위산지,1위물량,2위산지,2위물량,기타물량,총반입량
202410상순,홍고추,강원도 평창군,27,강원도 인제군,12,37,76
202410중순,홍고추,강원도 평창군,19,광주광역시 광주 남구,11,32,61
202410하순,홍고추,광주광역시 광주 남구,21,강원도 평창군,18,46,86
202411상순,홍고추,광주광역시 광주 남구,19,전라남도 나주시,7,27,53
202411중순,홍고추,광주광역시 광주 남구,27,전라남도 나주시,10,28,66
202411하순,홍고추,광주광역시 광주 남구,21,전라남도 나주시,11,24,56
202412상순,홍고추,광주광역시 광주 남구,17,전라남도 나주시,6,17,40
202412중순,홍고추,경상남도 진주시,11,광주광역시 광주 남구,10,17,39
202412하순,홍고추,경상남도 진주시,22,광주광역시 광주 남구,12,16,49
202501상순,홍고추,경상남도 진주시,27,광주광역시 광주 남구,6,7,40
202501중순,홍고추,경상남도 진주시,38,광주광역시 광주 남구,6,6,49
202501하순,홍고추,경상남도 진주시,37,광주광역시 광주 남구,9,7,53
202502상순,홍고추,경상남도 진주시,44,광주광역시 광주 남구,4,4,52
202502중순,홍고추,경상남도 진주시,32,전라남도 나주시,2,4,39
202502하순,홍고추,경상남도 진주시,27,경상남도 밀양시,2,4,34
202503상순,홍고추,경상남도 진주시,31,광주광역시 광주 남구,4,7,42
202503중순,홍고추,경상남도 진주시,28,광주광역시 광주 남구,13,9,51
202503하순,홍고추,경상남도 진주시,40,광주광역시 광주 남구,12,12,64
202504상순,홍고추,경상남도 진주시,38,광주광역시 광주 남구,9,8,54
202504중순,홍고추,경상남도 진주시,51,광주광역시 광주 남구,6,4,61
202504하순,홍고추,경상남도 진주시,74,광주광역시 광주 남구,3,4,81
202505상순,홍고추,경상남도 진주시,74,경상남도 밀양시,4,2,81
202505중순,홍고추,경상남도 진주시,89,경상남도 밀양시,6,1,96
202505하순,홍고추,경상남도 진주시,118,경상남도 밀양시,12,0,130
202506상순,홍고추,경상남도 진주시,83,경상남도 밀양시,22,0,106
202506중순,홍고추,경상남도 진주시,71,경상남도 밀양시,41,1,114
202506하순,홍고추,경상남도 진주시,78,경상남도 밀양시,41,6,126
202507상순,홍고추,경상남도 진주시,60,경상남도 밀양시,27,13,101
202507중순,홍고추,경상남도 진주시,51,경상남도 밀양시,24,30,105
202507하순,홍고추,경상남도 진주시,44,경상남도 밀양시,17,117,179
202508상순,홍고추,강원도 홍천군,39,강원도 평창군,20,115,175
202508중순,홍고추,강원도 홍천군,72,강원도 평창군,47,147,266
202508하순,홍고추,강원도 평창군,51,강원도 홍천군,41,92,184
202509상순,홍고추,강원도 평창군,45,강원도 인제군,32,94,171
202509중순,홍고추,강원도 평창군,40,강원도 인제군,21,62,123
202509하순,홍고추,강원도 평창군,38,강원도 인제군,17,57,112
202510상순,홍고추,강원도 평창군,27,광주광역시 광주 남구,11,35,73
202510중순,홍고추,강원도 평창군,17,광주광역시 광주 남구,17,54,88
202510하순,홍고추,광주광역시 광주 남구,25,전라남도 나주시,13,45,83
202511상순,홍고추,광주광역시 광주 남구,15,전라남도 나주시,9,23,46
202511중순,홍고추,광주광역시 광주 남구,16,전라남도 나주시,11,31,58
202511하순,홍고추,광주광역시 광주 남구,11,경상남도 밀양시,8,21,41
202512상순,홍고추,광주광역시 광주 남구,12,경상남도 진주시,10,28,51
202512중순,홍고추,경상남도 진주시,22,광주광역시 광주 남구,13,17,53
202512하순,홍고추,경상남도 진주시,43,광주광역시 광주 남구,8,10,60
202601상순,홍고추,경상남도 진주시,40,전라남도 나주시,2,3,46
202601중순,홍고추,경상남도 진주시,50,전라북도 고창군,2,4,55
